profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,1,True,177.0000,0.0000,229.2793,90.0,0.000000,90.000000,-10.000000,-10.000000,-30.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,91.0,0.000000,91.000000,-9.000000,-9.000000,-29.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,92.0,0.000000,92.000000,-8.000000,-8.000000,-28.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,93.0,0.000000,93.000000,-7.000000,-7.000000,-27.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,94.0,0.000000,94.000000,-6.000000,-6.000000,-26.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,95.0,0.000000,95.000000,-5.000000,-5.000000,-25.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,96.0,0.000000,96.000000,-4.000000,-4.000000,-24.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,97.0,0.000000,97.000000,-3.000000,-3.000000,-23.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,98.0,0.000000,98.000000,-2.000000,-2.000000,-22.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,99.0,0.000000,99.000000,-1.000000,-1.000000,-21.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,100.0,0.000000,100.000000,0.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,101.0,-1.000000,100.000000,1.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,102.0,-2.000000,100.000000,2.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,103.0,-3.000000,100.000000,3.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,104.0,-4.000000,100.000000,4.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,105.0,-5.000000,100.000000,5.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,106.0,-6.000000,100.000000,6.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,107.0,-7.000000,100.000000,7.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,108.0,-8.000000,100.000000,8.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,109.0,-9.000000,100.000000,9.000000,0.000000,-20.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,110.0,-10.000000,100.000000,10.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,-10.0,0.000000,-10.000000,-110.000000,-110.000000,-130.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-9.0,0.000000,-9.000000,-109.000000,-109.000000,-129.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-8.0,0.000000,-8.000000,-108.000000,-108.000000,-128.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-7.0,0.000000,-7.000000,-107.000000,-107.000000,-127.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-6.0,0.000000,-6.000000,-106.000000,-106.000000,-126.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-5.0,0.000000,-5.000000,-105.000000,-105.000000,-125.000000,-20.000000,False
N1,left,2,True,297.0000,229.2793,385.3570,-4.0,0.000000,-4.000000,-104.000000,-104.000000,-124.000000,-20.000000,False
