profile,ear,band,active_prescription,point,centre_hz,input_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,camfit_gain_db,sigma_output_after_global_headroom_dbfs,maximum_interpolation_error_db,implementation_note
N2,left,7,True,5,4000.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,8,True,1,6727.0000,10.0,-90.000000,-48.403088,41.596912,-68.403088,0.000000000,enter x/y in compressor graph
N2,left,8,True,2,6727.0000,22.0,-78.000000,-36.403088,41.596912,-56.403088,0.000000000,enter x/y in compressor graph
N2,left,8,True,3,6727.0000,85.0,-15.000000,-14.850457,0.149543,-34.850457,0.000000000,enter x/y in compressor graph
N2,left,8,True,4,6727.0000,86.0,-14.000000,-14.000000,0.000000,-34.000000,0.000000000,enter x/y in compressor graph
N2,left,8,True,5,6727.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,8,True,6,6727.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,9,False,1,11314.0000,10.0,-90.000000,-90.000000,0.000000,-110.000000,0.000000000,bypass compressor; global headroom still applies
N2,left,9,False,2,11314.0000,110.0,10.000000,10.000000,0.000000,-10.000000,0.000000000,bypass compressor; global headroom still applies
N2,right,1,True,1,177.0000,10.0,-90.000000,-81.486225,8.513775,-101.486225,0.009789179,enter x/y in compressor graph
N2,right,1,True,2,177.0000,38.0,-62.000000,-53.486225,8.513775,-73.486225,0.009789179,enter x/y in compressor graph
N2,right,1,True,3,177.0000,59.0,-41.000000,-40.989966,0.010034,-60.989966,0.009789179,enter x/y in compressor graph
N2,right,1,True,4,177.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.009789179,enter x/y in compressor graph
N2,right,1,True,5,177.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.009789179,enter x/y in compressor graph
N2,right,2,True,1,297.0000,10.0,-90.000000,-85.199974,4.800026,-105.199974,0.006770160,enter x/y in compressor graph
N2,right,2,True,2,297.0000,38.0,-62.000000,-57.199974,4.800026,-77.199974,0.006770160,enter x/y in compressor graph
N2,right,2,True,3,297.0000,59.0,-41.000000,-40.993061,0.006939,-60.993061,0.006770160,enter x/y in compressor graph
N2,right,2,True,4,297.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.006770160,enter x/y in compressor graph
N2,right,2,True,5,297.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.006770160,enter x/y in compressor graph
N2,right,3,True,1,500.0000,10.0,-90.000000,-88.063369,1.936631,-108.063369,0.000000000,enter x/y in compressor graph
N2,right,3,True,2,500.0000,36.0,-64.000000,-62.063369,1.936631,-82.063369,0.000000000,enter x/y in compressor graph
N2,right,3,True,3,500.0000,98.0,-2.000000,-0.923219,1.076781,-20.923219,0.000000000,enter x/y in compressor graph
N2,right,3,True,4,500.0000,99.0,-1.000000,0.000000,1.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,right,3,True,5,500.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
